GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0003674	molecular_function	0.000045316369604499205	0.000045316369604499205	+1	AP3M2,GPR88,ZNF154,NEFM,CLDN14,RGL4,PGLYRP2,HTR2B,NUGGC,BFSP2,SV2B,HAPLN4,LDHAL6A,BCL11B,ZFP36L2,SPNS3,FSBP,NMT2,SCML4,TM4SF18,UBASH3A
GO:0005488	binding	0.007074683102033969	0.007074683102033969	+1	AP3M2,ZNF154,NEFM,CLDN14,PGLYRP2,HTR2B,NUGGC,BFSP2,SV2B,HAPLN4,BCL11B,ZFP36L2,FSBP,NMT2,SCML4,TM4SF18,UBASH3A
GO:0005198	structural molecule activity	0.013332004769021012	0.013332004769021012	+1	NEFM,CLDN14,BFSP2,HAPLN4
GO:0018030	peptidyl-lysine N6-myristoyltransferase activity	0.013332004769021012	0.013332004769021012	+1	NMT2
GO:0004379	glycylpeptide N-tetradecanoyltransferase activity	0.013332004769021012	0.013332004769021012	+1	NMT2
GO:0005200	structural constituent of cytoskeleton	0.013332004769021012	0.013332004769021012	+1	NEFM,BFSP2
GO:0005515	protein binding	0.013332004769021012	0.013332004769021012	+1	AP3M2,NEFM,CLDN14,PGLYRP2,HTR2B,BFSP2,SV2B,BCL11B,ZFP36L2,FSBP,NMT2,SCML4,TM4SF18,UBASH3A
GO:0150043	structural constituent of synapse-associated extracellular matrix	0.013332004769021012	0.013332004769021012	+1	HAPLN4
GO:0001587	Gq/11-coupled serotonin receptor activity	0.014533103890760618	0.014533103890760618	+1	HTR2B
GO:0008745	N-acetylmuramoyl-L-alanine amidase activity	0.01743627497435163	0.01743627497435163	+1	PGLYRP2
GO:0016019	peptidoglycan immune receptor activity	0.01981002971966213	0.01981002971966213	+1	PGLYRP2
GO:0004459	L-lactate dehydrogenase activity	0.021786722756910293	0.021786722756910293	+1	LDHAL6A
GO:0004457	lactate dehydrogenase activity	0.023457984214524934	0.023457984214524934	+1	LDHAL6A
GO:0051378	serotonin binding	0.030801477555569626	0.030801477555569626	+1	HTR2B
GO:0019107	myristoyltransferase activity	0.030801477555569626	0.030801477555569626	+1	NMT2
GO:0005539	glycosaminoglycan binding	0.030801477555569626	0.030801477555569626	+1	PGLYRP2,HAPLN4
GO:0043176	amine binding	0.034338919605778354	0.034338919605778354	+1	HTR2B
GO:0008020	G protein-coupled photoreceptor activity	0.034338919605778354	0.034338919605778354	+1	GPR88
GO:0061783	peptidoglycan muralytic activity	0.034338919605778354	0.034338919605778354	+1	PGLYRP2
GO:0009881	photoreceptor activity	0.037260151844856766	0.037260151844856766	+1	GPR88
GO:0042834	peptidoglycan binding	0.037260151844856766	0.037260151844856766	+1	PGLYRP2
GO:0004993	G protein-coupled serotonin receptor activity	0.04343582403034512	0.04343582403034512	+1	HTR2B
GO:0005212	structural constituent of eye lens	0.045306428358455005	0.045306428358455005	+1	BFSP2
GO:0009987	cellular process	0.0002132028017179247	0.0002132028017179247	+1	AP3M2,GPR88,ZNF154,NEFM,CLDN14,RGL4,LAMB4,PGLYRP2,HTR2B,NUGGC,BFSP2,SV2B,HAPLN4,LDHAL6A,BCL11B,ZFP36L2,SPNS3,NMT2,SCML4,TRBV7-2,UBASH3A
GO:0008150	biological_process	0.00036163547427749295	0.00036163547427749295	+1	AP3M2,GPR88,ZNF154,NEFM,CLDN14,RGL4,LAMB4,PGLYRP2,HTR2B,NUGGC,BFSP2,SV2B,HAPLN4,LDHAL6A,BCL11B,ZFP36L2,SPNS3,NMT2,SCML4,TRBV7-2,UBASH3A
GO:0050794	regulation of cellular process	0.015486433409310114	0.015486433409310114	+1	GPR88,ZNF154,RGL4,PGLYRP2,HTR2B,NUGGC,SV2B,HAPLN4,BCL11B,ZFP36L2,NMT2,SCML4,TRBV7-2,UBASH3A
GO:0050789	regulation of biological process	0.01960858291698678	0.01960858291698678	+1	GPR88,ZNF154,RGL4,PGLYRP2,HTR2B,NUGGC,SV2B,HAPLN4,BCL11B,ZFP36L2,NMT2,SCML4,TRBV7-2,UBASH3A
